23:05:2018 15:53:33:288,9.375
23:05:2018 15:53:33:320,9.375
23:05:2018 15:53:33:320,19.5
23:05:2018 15:53:33:336,19.5
23:05:2018 15:53:33:336,32.125
23:05:2018 15:53:33:352,32.125
23:05:2018 15:53:33:352,44.6875
23:05:2018 15:53:33:368,44.6875
23:05:2018 15:53:33:368,55.875
23:05:2018 15:53:33:384,55.875
23:05:2018 15:53:33:384,64
23:05:2018 15:53:33:400,64
23:05:2018 15:53:33:400,69.9375
23:05:2018 15:53:33:416,69.9375
23:05:2018 15:53:33:416,72.8125
23:05:2018 15:53:33:432,72.8125
23:05:2018 15:53:33:432,77.625
23:05:2018 15:53:33:448,77.625
23:05:2018 15:53:33:448,74.6875
23:05:2018 15:53:33:464,74.6875
23:05:2018 15:53:33:464,75.625
23:05:2018 15:53:33:480,75.625
23:05:2018 15:53:33:480,82.5
23:05:2018 15:53:33:496,82.5
23:05:2018 15:53:33:496,81
23:05:2018 15:53:33:512,81
23:05:2018 15:53:33:512,78.625
23:05:2018 15:53:33:528,78.625
23:05:2018 15:53:33:528,80.875
23:05:2018 15:53:33:544,80.875
23:05:2018 15:53:33:544,82.5
23:05:2018 15:53:33:560,82.5
23:05:2018 15:53:33:560,82.5625
23:05:2018 15:53:33:576,82.5625
23:05:2018 15:53:33:576,81.3125
23:05:2018 15:53:33:593,81.3125
23:05:2018 15:53:33:593,80.1875
23:05:2018 15:53:33:625,80.1875
23:05:2018 15:53:33:625,81.125
23:05:2018 15:53:33:641,81.125
23:05:2018 15:53:33:641,81.75
23:05:2018 15:53:33:657,81.75
23:05:2018 15:53:33:657,82.5
23:05:2018 15:53:33:689,82.5
23:05:2018 15:53:33:689,55.625
23:05:2018 15:53:33:705,55.625
23:05:2018 15:53:33:705,46.5
23:05:2018 15:53:33:721,46.5
23:05:2018 15:53:33:721,37.625
23:05:2018 15:53:33:737,37.625
23:05:2018 15:53:33:737,30.25
23:05:2018 15:53:33:753,30.25
23:05:2018 15:53:33:753,25
23:05:2018 15:53:33:769,25
23:05:2018 15:53:33:769,20.6875
